ihp_cluster,hsv_1,hsv_2,hsv_3,hsv_4,hsv_5,hsv_6,hsv_7,hsv_8,hsv_9,hsv_10,hsv_11,hsv_12,hsv_13,hsv_14,hsv_15,hsv_16,hsv_525
168,78.0,164.0,6.0,4.0,145.0,11.0,65.0,44.0,30.0,23.0,57.0,3.0,62.0,59.0,8.0,0.0,0.0
169,7.0,6.0,0.0,2.0,6.0,1.0,2.0,6.0,0.0,1.0,3.0,0.0,3.0,5.0,0.0,0.0,0.0
170,55.0,41.0,14.0,9.0,51.0,4.0,60.0,20.0,5.0,19.0,11.0,3.0,13.0,33.0,4.0,0.0,0.0
171,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,4.0,26.0,2.0,0.0,19.0,1.0,1.0,9.0,2.0,5.0,9.0,0.0,8.0,2.0,0.0,0.0,0.0
173,13.0,9.0,1.0,0.0,11.0,2.0,2.0,4.0,1.0,0.0,4.0,0.0,3.0,2.0,0.0,0.0,0.0
174,4.0,6.0,0.0,0.0,9.0,5.0,3.0,3.0,5.0,2.0,4.0,0.0,7.0,3.0,0.0,0.0,0.0
175,3.0,8.0,2.0,3.0,10.0,2.0,5.0,5.0,3.0,0.0,7.0,0.0,4.0,3.0,0.0,0.0,0.0
176,3.0,10.0,2.0,3.0,13.0,6.0,9.0,4.0,4.0,3.0,10.0,1.0,5.0,4.0,0.0,0.0,0.0
177,12.0,23.0,3.0,7.0,34.0,4.0,13.0,13.0,5.0,6.0,10.0,2.0,16.0,13.0,2.0,0.0,0.0
178,4.0,2.0,0.0,2.0,3.0,0.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0
179,5.0,5.0,3.0,1.0,9.0,2.0,9.0,1.0,1.0,4.0,4.0,0.0,5.0,3.0,2.0,0.0,0.0
180,18.0,37.0,2.0,4.0,52.0,13.0,7.0,17.0,9.0,6.0,20.0,0.0,21.0,15.0,2.0,0.0,0.0
181,24.0,25.0,10.0,11.0,26.0,1.0,52.0,5.0,3.0,6.0,15.0,0.0,4.0,11.0,9.0,0.0,0.0
182,9.0,19.0,3.0,1.0,28.0,0.0,5.0,4.0,1.0,0.0,8.0,0.0,5.0,6.0,1.0,0.0,0.0
183,24.0,53.0,2.0,3.0,65.0,4.0,24.0,32.0,6.0,8.0,13.0,0.0,14.0,39.0,0.0,0.0,0.0
184,6.0,12.0,0.0,0.0,17.0,1.0,7.0,4.0,1.0,2.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0
185,3.0,20.0,1.0,1.0,13.0,4.0,5.0,9.0,2.0,2.0,3.0,0.0,7.0,16.0,0.0,0.0,0.0
186,48.0,150.0,6.0,6.0,142.0,24.0,23.0,47.0,18.0,17.0,37.0,1.0,50.0,38.0,5.0,0.0,0.0
187,9.0,19.0,0.0,0.0,19.0,2.0,3.0,6.0,2.0,3.0,8.0,1.0,4.0,4.0,0.0,0.0,0.0
188,1.0,6.0,0.0,1.0,7.0,3.0,14.0,0.0,0.0,3.0,4.0,0.0,7.0,5.0,0.0,0.0,0.0
189,8.0,15.0,0.0,2.0,11.0,2.0,8.0,3.0,3.0,3.0,1.0,2.0,8.0,4.0,4.0,0.0,0.0
